Production_Date,Product_Type,Output_Units,Waste_Units,Quality_Score
2023-01-03 02:00:00,Yogurt,2271,123.0,93.21
2023-01-03 03:00:00,ChocoMilk Deluxe,5753,213.0,79.66
2023-01-03 04:00:00,Yogurt,6314,73.0,86.46
2023-01-03 05:00:00,Yogurt,5489,227.0,99.11
2023-01-03 06:00:00,ChocoMilk Deluxe,2168,418.0,97.15
2023-01-03 07:00:00,Unicorn Cheese,5430,0.0,100.0
2023-01-03 08:00:00,Cheese,3579,12.0,96.02
2023-01-03 09:00:00,Milk,4226,475.5,79.12
2023-01-03 10:00:00,Cheese,8242,217.0,84.18
2023-01-03 11:00:00,Yogurt,1251,165.0,73.02
2023-01-03 12:00:00,Milk,4009,190.0,98.09
2023-01-03 13:00:00,Milk,3681,316.5,79.27
2023-01-03 14:00:00,Cheese,7423,501.0,72.34
2023-01-03 15:00:00,Milk,6846,482.0,86.63
2023-01-03 16:00:00,Milk,2273,320.0,81.95
2023-01-03 17:00:00,Milk,8594,397.0,88.35
2023-01-03 18:00:00,Milk,6853,7.0,81.08
2023-01-03 19:00:00,Cheese,1218,327.0,83.94
2023-01-03 20:00:00,Unicorn Cheese,8500,0.0,100.0
2023-01-03 21:00:00,Milk,2660,283.5,73.18
2023-01-03 22:00:00,Cheese,9965,532.5,76.96
2023-01-03 23:00:00,Cheese,1953,6.0,75.72
2023-01-04 00:00:00,Cheese,6165,182.0,86.87
2023-01-04 01:00:00,Cheese,4346,237.0,77.08
2023-01-04 02:00:00,Yogurt,5051,88.0,96.82
2023-01-04 03:00:00,Yogurt,4163,436.5,77.9
2023-01-04 04:00:00,Cheese,3791,321.0,78.72
2023-01-04 05:00:00,Yogurt,1013,166.5,78.61
2023-01-04 06:00:00,Milk,4387,720.0,73.0
2023-01-04 07:00:00,ChocoMilk Deluxe,4840,433.0,95.08
2023-01-04 08:00:00,Yogurt,4868,490.5,74.61
2023-01-04 09:00:00,Cheese,9705,497.0,89.73
2023-01-04 10:00:00,Unicorn Cheese,9557,0.0,100.0
2023-01-04 11:00:00,ChocoMilk Deluxe,8599,365.0,81.83
2023-01-04 12:00:00,Milk,7946,174.0,80.58
2023-01-04 13:00:00,Milk,3942,4.5,76.64
2023-01-04 14:00:00,Cheese,2473,387.0,97.31
2023-01-04 15:00:00,Yogurt,1739,276.0,84.32
2023-01-04 16:00:00,Cheese,4729,233.0,83.08
2023-01-04 17:00:00,Yogurt,4238,317.0,85.79
2023-01-04 18:00:00,Cheese,5665,156.0,77.6
2023-01-04 19:00:00,Milk,6256,177.0,96.75
2023-01-04 20:00:00,ChocoMilk Deluxe,4525,541.5,77.51
2023-01-04 21:00:00,Unicorn Cheese,6972,0.0,100.0
2023-01-04 22:00:00,Yogurt,3447,396.0,75.49
2023-01-04 23:00:00,Yogurt,8786,516.0,78.89
2023-01-05 00:00:00,ChocoMilk Deluxe,9320,718.5,72.5
2023-01-05 01:00:00,Yogurt,9019,397.5,72.47
2023-01-05 02:00:00,Yogurt,7416,119.0,91.41
2023-01-05 03:00:00,Yogurt,8478,241.5,74.87
2023-01-05 04:00:00,Yogurt,6367,443.0,92.28
2023-01-05 05:00:00,Yogurt,1562,282.0,80.5
2023-01-05 06:00:00,Yogurt,3304,660.0,77.77
2023-01-05 07:00:00,Yogurt,5446,625.5,76.2
2023-01-05 08:00:00,Milk,2753,442.0,87.07
2023-01-05 09:00:00,ChocoMilk Deluxe,9004,427.5,77.35
2023-01-05 10:00:00,Cheese,5617,210.0,94.61
2023-01-05 11:00:00,Milk,4607,24.0,80.42
2023-01-05 12:00:00,Yogurt,1380,433.0,81.88
2023-01-05 13:00:00,Yogurt,7093,82.0,81.11
2023-01-05 14:00:00,Milk,2199,458.0,98.73
2023-01-05 15:00:00,Cheese,9128,439.5,78.4
2023-01-05 16:00:00,ChocoMilk Deluxe,1183,387.0,85.09
2023-01-05 17:00:00,Milk,8186,180.0,92.28
2023-01-05 18:00:00,Unicorn Cheese,6497,0.0,100.0
2023-01-05 19:00:00,Unicorn Cheese,2883,0.0,100.0
2023-01-05 20:00:00,Milk,5779,115.5,76.5
2023-01-05 21:00:00,Unicorn Cheese,6256,0.0,100.0
2023-01-05 22:00:00,Milk,1151,260.0,97.83
2023-01-05 23:00:00,Yogurt,3595,462.0,85.88
2023-01-06 00:00:00,Yogurt,4597,329.0,81.57
2023-01-06 01:00:00,ChocoMilk Deluxe,7470,220.5,79.35
2023-01-06 02:00:00,Milk,7025,168.0,88.8
2023-01-06 03:00:00,ChocoMilk Deluxe,3460,613.5,76.04
2023-01-06 04:00:00,Milk,2733,624.0,75.83
2023-01-06 05:00:00,Yogurt,5872,76.0,82.59
2023-01-06 06:00:00,Cheese,1045,343.0,93.72
2023-01-06 07:00:00,ChocoMilk Deluxe,1823,333.0,91.66
2023-01-06 08:00:00,Milk,2872,341.0,90.06
2023-01-06 09:00:00,Yogurt,2260,101.0,81.63
2023-01-06 10:00:00,Cheese,8795,99.0,92.48
2023-01-06 11:00:00,Cheese,4237,91.0,81.48
2023-01-06 12:00:00,Milk,9140,360.0,85.1
2023-01-06 13:00:00,Unicorn Cheese,7793,0.0,100.0
2023-01-06 14:00:00,Yogurt,7275,474.0,71.22
2023-01-06 15:00:00,Milk,2764,364.0,91.21
2023-01-06 16:00:00,Milk,6315,53.0,90.01
2023-01-06 17:00:00,Yogurt,4510,97.0,95.92
2023-01-06 18:00:00,ChocoMilk Deluxe,6474,417.0,80.39
2023-01-06 19:00:00,Milk,2960,472.5,72.46
2023-01-06 20:00:00,ChocoMilk Deluxe,1639,258.0,93.3
2023-01-06 21:00:00,Unicorn Cheese,5359,0.0,100.0
2023-01-06 22:00:00,ChocoMilk Deluxe,9663,426.0,77.15
2023-01-06 23:00:00,Cheese,5460,196.0,86.78
2023-01-07 00:00:00,ChocoMilk Deluxe,1795,391.0,100.0
2023-01-07 01:00:00,Yogurt,3998,475.0,97.8
2023-01-07 02:00:00,Milk,9455,34.0,95.49
2023-01-07 03:00:00,Cheese,8498,325.0,92.88
2023-01-07 04:00:00,Yogurt,9925,148.0,82.73
2023-01-07 05:00:00,Yogurt,5956,67.0,85.04
2023-01-07 06:00:00,ChocoMilk Deluxe,4240,79.0,81.86
2023-01-07 07:00:00,Yogurt,2862,327.0,96.95
2023-01-07 08:00:00,Cheese,1100,448.0,80.47
2023-01-07 09:00:00,Cheese,5885,34.5,75.24
2023-01-07 10:00:00,Cheese,4063,100.0,98.0
2023-01-07 11:00:00,Yogurt,9509,45.0,79.52
2023-01-07 12:00:00,ChocoMilk Deluxe,6626,204.0,93.16
2023-01-07 13:00:00,ChocoMilk Deluxe,9875,221.0,96.09
2023-01-07 14:00:00,Milk,1295,15.0,99.58
2023-01-07 15:00:00,Yogurt,3783,51.0,75.94
2023-01-07 16:00:00,Cheese,5785,327.0,74.67
2023-01-07 17:00:00,Cheese,3086,525.0,76.4
2023-01-07 18:00:00,Cheese,6816,127.0,86.12
2023-01-07 19:00:00,Cheese,3595,3.0,74.07
2023-01-07 20:00:00,ChocoMilk Deluxe,9508,309.0,75.3
2023-01-07 21:00:00,Milk,5548,49.0,90.55
2023-01-07 22:00:00,ChocoMilk Deluxe,6131,37.0,91.67
2023-01-07 23:00:00,Cheese,7268,93.0,99.38
2023-01-08 00:00:00,Cheese,6001,466.5,70.42
2023-01-08 01:00:00,Cheese,6476,738.0,71.13
2023-01-08 02:00:00,Milk,1623,303.0,82.4
2023-01-08 03:00:00,Yogurt,7906,74.0,98.21
2023-01-08 04:00:00,Yogurt,3219,97.0,92.12
2023-01-08 05:00:00,Milk,8886,377.0,82.33
2023-01-08 06:00:00,ChocoMilk Deluxe,9502,646.5,77.78
2023-01-08 07:00:00,Yogurt,4656,370.5,70.66
2023-01-08 08:00:00,Milk,5070,497.0,87.84
2023-01-08 09:00:00,Yogurt,8027,406.5,72.48
2023-01-08 10:00:00,ChocoMilk Deluxe,7856,309.0,92.89
2023-01-08 11:00:00,Cheese,4938,87.0,71.6
2023-01-08 12:00:00,Milk,4936,16.0,97.29
2023-01-08 13:00:00,Yogurt,7262,18.0,82.52
2023-01-08 14:00:00,Yogurt,4901,173.0,98.94
2023-01-08 15:00:00,Cheese,3081,334.0,83.76
2023-01-08 16:00:00,Milk,7203,305.0,82.32
2023-01-08 17:00:00,ChocoMilk Deluxe,2352,308.0,80.07
2023-01-08 18:00:00,Yogurt,7876,423.0,90.77
2023-01-08 19:00:00,Cheese,3270,61.5,74.32
2023-01-08 20:00:00,ChocoMilk Deluxe,7473,615.0,78.65
2023-01-08 21:00:00,Cheese,4052,298.5,78.91
2023-01-08 22:00:00,Milk,7612,280.5,74.35
2023-01-08 23:00:00,Milk,6409,481.0,85.98
2023-01-09 00:00:00,ChocoMilk Deluxe,4316,44.0,89.57
2023-01-09 01:00:00,Milk,3762,426.0,92.22
2023-01-09 02:00:00,ChocoMilk Deluxe,8442,184.0,97.94
2023-01-09 03:00:00,Cheese,6209,283.5,77.84
2023-01-09 04:00:00,Unicorn Cheese,3337,0.0,100.0
2023-01-09 05:00:00,Cheese,2178,447.0,73.49
2023-01-09 06:00:00,Milk,1703,469.5,79.73
2023-01-09 07:00:00,Cheese,6033,172.5,79.13
2023-01-09 08:00:00,Milk,6690,295.0,82.14
2023-01-09 09:00:00,Cheese,3160,259.0,89.96
2023-01-09 10:00:00,Cheese,6698,158.0,84.76
2023-01-09 11:00:00,ChocoMilk Deluxe,6689,355.0,81.21
2023-01-09 12:00:00,Milk,7247,34.5,71.76
2023-01-09 13:00:00,ChocoMilk Deluxe,2970,300.0,85.51
2023-01-09 14:00:00,Cheese,5076,125.0,80.78
2023-01-09 15:00:00,Cheese,2296,279.0,80.3
2023-01-09 16:00:00,Milk,2618,372.0,88.5
2023-01-09 17:00:00,Milk,9644,226.0,93.68
2023-01-09 18:00:00,ChocoMilk Deluxe,5949,184.0,92.58
2023-01-09 19:00:00,ChocoMilk Deluxe,8366,207.0,77.06
2023-01-09 20:00:00,Milk,4140,258.0,79.98
2023-01-09 21:00:00,Cheese,9641,440.0,90.67
2023-01-09 22:00:00,Yogurt,5627,98.0,91.12
2023-01-09 23:00:00,Milk,5618,158.0,90.48
2023-01-10 00:00:00,Milk,8627,216.0,82.85
2023-01-10 01:00:00,Cheese,7416,13.5,78.07
2023-01-10 02:00:00,Yogurt,3420,549.0,73.41
2023-01-10 03:00:00,Milk,7302,406.5,75.13
2023-01-10 04:00:00,Milk,1416,259.0,93.35
2023-01-10 05:00:00,ChocoMilk Deluxe,2218,263.0,97.79
2023-01-10 06:00:00,Unicorn Cheese,1129,0.0,100.0
2023-01-10 07:00:00,Yogurt,7342,110.0,85.19
2023-01-10 08:00:00,Unicorn Cheese,7727,0.0,100.0
2023-01-10 09:00:00,Milk,4544,91.0,93.08
2023-01-10 10:00:00,Yogurt,8266,88.0,83.49
2023-01-10 11:00:00,Cheese,9417,338.0,97.77
2023-01-10 12:00:00,ChocoMilk Deluxe,7252,290.0,96.94
2023-01-10 13:00:00,Cheese,7949,732.0,72.72
2023-01-10 14:00:00,Cheese,9063,582.0,78.38
2023-01-10 15:00:00,Yogurt,3457,458.0,92.02
2023-01-10 16:00:00,Milk,6925,135.0,94.7
2023-01-10 17:00:00,Milk,2201,434.0,89.67
2023-01-10 18:00:00,ChocoMilk Deluxe,7070,594.0,77.18
2023-01-10 19:00:00,Cheese,6747,338.0,95.33
2023-01-10 20:00:00,Yogurt,5550,475.0,89.88
2023-01-10 21:00:00,ChocoMilk Deluxe,3765,350.0,89.93
2023-01-10 22:00:00,Yogurt,5478,369.0,83.26
2023-01-10 23:00:00,Yogurt,3623,62.0,96.24
2023-01-11 00:00:00,Milk,5825,263.0,88.65
2023-01-11 01:00:00,Yogurt,4903,288.0,73.67
2023-01-11 02:00:00,Cheese,2610,388.5,73.93
2023-01-11 03:00:00,Yogurt,4299,414.0,87.28
2023-01-11 04:00:00,Yogurt,1714,182.0,92.11
2023-01-11 05:00:00,Yogurt,5026,122.0,95.33
2023-01-11 06:00:00,ChocoMilk Deluxe,3135,358.0,91.67
2023-01-11 07:00:00,Cheese,8113,431.0,81.34
2023-01-11 08:00:00,Milk,5232,78.0,90.73
2023-01-11 09:00:00,Yogurt,5581,126.0,90.28
2023-01-11 10:00:00,Yogurt,3980,699.0,77.91
2023-01-11 11:00:00,Cheese,3102,583.5,78.4
2023-01-11 12:00:00,ChocoMilk Deluxe,9625,495.0,98.42
2023-01-11 13:00:00,Yogurt,5415,31.0,95.07
2023-01-11 14:00:00,Cheese,4064,58.0,95.56
2023-01-11 15:00:00,Milk,9294,477.0,90.98
2023-01-11 16:00:00,Yogurt,3607,112.0,84.45
2023-01-11 17:00:00,Yogurt,3220,520.5,79.07
2023-01-11 18:00:00,Cheese,4939,422.0,86.66
2023-01-11 19:00:00,Milk,5211,301.5,71.86
2023-01-11 20:00:00,Yogurt,7478,568.5,72.68
2023-01-11 21:00:00,Cheese,1412,435.0,86.25
2023-01-11 22:00:00,Cheese,8772,260.0,83.37
2023-01-11 23:00:00,Yogurt,3400,484.0,99.15
2023-01-12 00:00:00,Cheese,3015,154.0,91.5
2023-01-12 01:00:00,Unicorn Cheese,6334,0.0,100.0
2023-01-12 02:00:00,Cheese,9039,135.0,77.54
2023-01-12 03:00:00,ChocoMilk Deluxe,2209,26.0,89.02
2023-01-12 04:00:00,ChocoMilk Deluxe,5370,383.0,94.19
2023-01-12 05:00:00,ChocoMilk Deluxe,5801,60.0,88.21
2023-01-12 06:00:00,Milk,7402,355.0,86.48
2023-01-12 07:00:00,Milk,6772,448.0,95.08
2023-01-12 08:00:00,Milk,1730,319.0,90.77
2023-01-12 09:00:00,Cheese,2188,341.0,92.92
2023-01-12 10:00:00,Milk,8251,255.0,74.75
2023-01-12 11:00:00,ChocoMilk Deluxe,8759,501.0,73.94
2023-01-12 12:00:00,Milk,2383,333.0,72.89
2023-01-12 13:00:00,Yogurt,6070,494.0,98.52
2023-01-12 14:00:00,ChocoMilk Deluxe,6690,99.0,88.74
2023-01-12 15:00:00,Milk,7035,147.0,94.88
2023-01-12 16:00:00,Yogurt,1920,25.5,74.21
2023-01-12 17:00:00,Cheese,6567,612.0,70.0
2023-01-12 18:00:00,Cheese,9815,78.0,93.47
2023-01-12 19:00:00,ChocoMilk Deluxe,2038,228.0,85.9
2023-01-12 20:00:00,Cheese,8420,305.0,81.67
2023-01-12 21:00:00,ChocoMilk Deluxe,8396,220.0,84.24
2023-01-12 22:00:00,Milk,2209,23.0,81.23
2023-01-12 23:00:00,ChocoMilk Deluxe,9932,343.5,73.46
2023-01-13 00:00:00,Milk,7401,405.0,96.49
2023-01-13 01:00:00,Cheese,2279,315.0,93.22
2023-01-13 02:00:00,Cheese,7511,601.5,70.95
2023-01-13 03:00:00,Milk,2260,409.5,77.9
2023-01-13 04:00:00,Milk,7372,260.0,96.78
2023-01-13 05:00:00,Milk,7746,198.0,93.22
2023-01-13 06:00:00,Yogurt,8456,401.0,98.21
2023-01-13 07:00:00,Milk,3362,329.0,90.56
2023-01-13 08:00:00,Milk,4924,616.5,76.73
2023-01-13 09:00:00,ChocoMilk Deluxe,2825,425.0,84.48
2023-01-13 10:00:00,Yogurt,7952,190.0,92.0
2023-01-13 11:00:00,Milk,1565,260.0,93.04
2023-01-13 12:00:00,Yogurt,6298,96.0,71.03
2023-01-13 13:00:00,Cheese,3589,432.0,77.02
2023-01-13 14:00:00,Unicorn Cheese,1000,0.0,100.0
2023-01-13 15:00:00,Milk,7880,134.0,90.19
2023-01-13 16:00:00,Cheese,3894,320.0,81.99
2023-01-13 17:00:00,Milk,7772,11.0,97.26
2023-01-13 18:00:00,Yogurt,2271,24.0,96.12
2023-01-13 19:00:00,Milk,6742,19.0,87.26
2023-01-13 20:00:00,Milk,8354,394.5,78.43
2023-01-13 21:00:00,Cheese,6426,31.5,71.88
2023-01-13 22:00:00,ChocoMilk Deluxe,5798,183.0,74.32
2023-01-13 23:00:00,Yogurt,1864,202.5,72.03
2023-01-14 00:00:00,Milk,2532,427.0,89.88
2023-01-14 01:00:00,Milk,8938,472.0,81.55
2023-01-14 02:00:00,Cheese,8008,455.0,94.09
2023-01-14 03:00:00,Milk,3004,438.0,91.98
2023-01-14 04:00:00,Unicorn Cheese,3545,0.0,100.0
2023-01-14 05:00:00,Yogurt,3998,307.0,82.28
2023-01-14 06:00:00,Yogurt,8937,419.0,97.96
2023-01-14 07:00:00,Milk,9180,568.5,77.07
2023-01-14 08:00:00,Milk,3343,374.0,97.21
2023-01-14 09:00:00,Yogurt,9507,89.0,82.73
2023-01-14 10:00:00,Yogurt,2654,345.0,71.07
2023-01-14 11:00:00,Milk,9545,152.0,86.6
2023-01-14 12:00:00,Cheese,4868,19.0,99.46
2023-01-14 13:00:00,Cheese,7955,169.5,72.07
2023-01-14 14:00:00,Milk,7413,334.0,90.93
2023-01-14 15:00:00,Cheese,4668,55.5,70.52
2023-01-14 16:00:00,Yogurt,2572,85.5,77.69
2023-01-14 17:00:00,Milk,9891,549.0,72.39
2023-01-14 18:00:00,Yogurt,9240,151.0,88.98
2023-01-14 19:00:00,Milk,6143,271.0,93.6
2023-01-14 20:00:00,Yogurt,2235,248.0,80.82
2023-01-14 21:00:00,ChocoMilk Deluxe,3082,381.0,73.39
2023-01-14 22:00:00,Yogurt,9100,80.0,87.31
2023-01-14 23:00:00,Cheese,4841,445.0,93.44
2023-01-15 00:00:00,Cheese,6703,624.0,70.0
2023-01-15 01:00:00,ChocoMilk Deluxe,8184,337.0,94.9
2023-01-15 02:00:00,Cheese,1791,183.0,71.09
2023-01-15 03:00:00,Milk,9202,104.0,99.91
2023-01-15 04:00:00,ChocoMilk Deluxe,1953,155.0,81.09
2023-01-15 05:00:00,ChocoMilk Deluxe,9089,453.0,80.17
2023-01-15 06:00:00,Cheese,2233,148.0,80.35
2023-01-15 07:00:00,Yogurt,3383,234.0,93.89
2023-01-15 08:00:00,Milk,4250,5.0,93.75
2023-01-15 09:00:00,Cheese,3619,82.0,95.06
2023-01-15 10:00:00,Cheese,4275,588.0,72.5
2023-01-15 11:00:00,Cheese,4539,123.0,89.42
2023-01-15 12:00:00,Unicorn Cheese,2661,0.0,100.0
2023-01-15 13:00:00,ChocoMilk Deluxe,6455,481.0,95.84
2023-01-15 14:00:00,Milk,3593,258.0,95.61
2023-01-15 15:00:00,Cheese,8441,391.0,86.14
2023-01-15 16:00:00,Cheese,7345,88.0,90.62
2023-01-15 17:00:00,Unicorn Cheese,1298,0.0,100.0
2023-01-15 18:00:00,Milk,7961,283.0,85.62
2023-01-15 19:00:00,Cheese,6930,428.0,89.63
2023-01-15 20:00:00,Cheese,2483,452.0,90.66
2023-01-15 21:00:00,Yogurt,8167,291.0,98.25
2023-01-15 22:00:00,Yogurt,1830,24.0,89.52
2023-01-15 23:00:00,Milk,8922,52.0,89.04
2023-01-16 00:00:00,Cheese,1216,351.0,83.76
2023-01-16 01:00:00,Cheese,2557,430.0,92.14
2023-01-16 02:00:00,Cheese,8045,122.0,81.05
2023-01-16 03:00:00,Milk,1771,308.0,93.96
2023-01-16 04:00:00,Cheese,2412,654.0,76.13
2023-01-16 05:00:00,Cheese,8593,187.0,81.92
2023-01-16 06:00:00,ChocoMilk Deluxe,8198,195.0,96.08
2023-01-16 07:00:00,Cheese,9183,89.0,83.68
2023-01-16 08:00:00,ChocoMilk Deluxe,8590,76.0,82.69
2023-01-16 09:00:00,Yogurt,4726,532.5,70.19
2023-01-16 10:00:00,Yogurt,9286,733.5,76.42
2023-01-16 11:00:00,ChocoMilk Deluxe,6051,291.0,83.42
2023-01-16 12:00:00,Milk,9210,356.0,92.06
2023-01-16 13:00:00,Yogurt,4600,320.0,89.25
2023-01-16 14:00:00,Milk,5307,35.0,93.71
2023-01-16 15:00:00,Cheese,8677,579.0,76.44
2023-01-16 16:00:00,Unicorn Cheese,9921,0.0,100.0
2023-01-16 17:00:00,ChocoMilk Deluxe,7277,429.0,83.61
2023-01-16 18:00:00,Yogurt,8915,14.0,99.64
2023-01-16 19:00:00,Yogurt,3320,330.0,86.66
2023-01-16 20:00:00,Yogurt,9631,150.0,73.96
2023-01-16 21:00:00,Milk,2877,314.0,80.0
2023-01-16 22:00:00,Milk,2184,349.5,73.18
2023-01-16 23:00:00,Cheese,8760,121.0,86.8
2023-01-17 00:00:00,Milk,6821,12.0,97.37
2023-01-17 01:00:00,Yogurt,2089,228.0,92.99
2023-01-17 02:00:00,ChocoMilk Deluxe,7967,481.0,92.6
2023-01-17 03:00:00,Milk,4262,523.5,75.98
2023-01-17 04:00:00,Cheese,5938,135.0,72.63
2023-01-17 05:00:00,Cheese,9848,474.0,99.84
2023-01-17 06:00:00,Milk,9143,532.5,71.49
2023-01-17 07:00:00,ChocoMilk Deluxe,2711,516.0,76.43
2023-01-17 08:00:00,Yogurt,9694,279.0,93.83
2023-01-17 09:00:00,Yogurt,8897,328.0,84.11
2023-01-17 10:00:00,Milk,3959,406.0,87.46
2023-01-17 11:00:00,Milk,7716,175.0,95.03
2023-01-17 12:00:00,Milk,8682,157.0,92.37
2023-01-17 13:00:00,Yogurt,4183,120.0,98.46
2023-01-17 14:00:00,Yogurt,8145,91.5,71.51
2023-01-17 15:00:00,Yogurt,6981,96.0,89.71
2023-01-17 16:00:00,Milk,5241,54.0,92.73
2023-01-17 17:00:00,Cheese,6562,194.0,89.98
2023-01-17 18:00:00,Milk,1086,702.0,72.52
2023-01-17 19:00:00,Milk,4705,178.0,95.07
2023-01-17 20:00:00,Milk,6396,236.0,96.23
2023-01-17 21:00:00,Cheese,5573,493.5,72.99
2023-01-17 22:00:00,ChocoMilk Deluxe,4346,421.0,81.3
2023-01-17 23:00:00,Milk,5818,485.0,87.49
2023-01-18 00:00:00,Cheese,1312,19.5,70.96
2023-01-18 01:00:00,Yogurt,1856,301.0,88.1
2023-01-18 02:00:00,Yogurt,1605,319.0,91.95
2023-01-18 03:00:00,Cheese,7760,475.0,86.96
2023-01-18 04:00:00,Milk,2247,9.0,80.26
2023-01-18 05:00:00,Cheese,6670,438.0,79.21
2023-01-18 06:00:00,Yogurt,9452,694.5,77.02
2023-01-18 07:00:00,ChocoMilk Deluxe,1628,438.0,76.31
2023-01-18 08:00:00,Milk,8547,43.5,74.99
2023-01-18 09:00:00,Milk,3599,263.0,93.22
2023-01-18 10:00:00,Milk,1658,2.0,80.83
2023-01-18 11:00:00,Yogurt,3149,164.0,86.29
2023-01-18 12:00:00,ChocoMilk Deluxe,5444,247.5,71.51
2023-01-18 13:00:00,ChocoMilk Deluxe,1607,433.5,72.41
2023-01-18 14:00:00,Milk,9335,197.0,81.57
2023-01-18 15:00:00,Unicorn Cheese,3142,0.0,100.0
2023-01-18 16:00:00,Cheese,8676,393.0,84.25
2023-01-18 17:00:00,Cheese,6196,672.0,72.87
2023-01-18 18:00:00,Cheese,6499,240.0,85.76
2023-01-18 19:00:00,ChocoMilk Deluxe,3774,280.0,84.12
2023-01-18 20:00:00,Yogurt,3557,57.0,79.38
2023-01-18 21:00:00,Yogurt,3959,22.5,71.28
2023-01-18 22:00:00,ChocoMilk Deluxe,4137,356.0,88.09
2023-01-18 23:00:00,Milk,1943,366.0,76.44
2023-01-19 00:00:00,Cheese,6300,699.0,76.31
2023-01-19 01:00:00,Cheese,8551,70.5,73.79
2023-01-19 02:00:00,Cheese,2987,271.0,93.12
2023-01-19 03:00:00,Yogurt,5336,454.5,71.08
2023-01-19 04:00:00,Cheese,2701,67.0,84.04
2023-01-19 05:00:00,Cheese,3384,65.0,97.39
2023-01-19 06:00:00,Yogurt,4163,327.0,80.03
2023-01-19 07:00:00,Yogurt,2554,357.0,81.08
2023-01-19 08:00:00,Yogurt,8050,86.0,82.56
2023-01-19 09:00:00,Cheese,3473,443.0,94.51
2023-01-19 10:00:00,Milk,8452,483.0,88.14
2023-01-19 11:00:00,ChocoMilk Deluxe,4040,367.0,97.57
2023-01-19 12:00:00,Milk,9675,316.5,71.03
2023-01-19 13:00:00,ChocoMilk Deluxe,2958,461.0,92.42
2023-01-19 14:00:00,Milk,9439,111.0,99.15
2023-01-19 15:00:00,Cheese,3331,690.0,76.17
2023-01-19 16:00:00,ChocoMilk Deluxe,8824,100.5,73.43
2023-01-19 17:00:00,Milk,7266,15.0,77.2
2023-01-19 18:00:00,Yogurt,8325,135.0,75.21
2023-01-19 19:00:00,Milk,1778,117.0,93.8
2023-01-19 20:00:00,ChocoMilk Deluxe,2447,94.0,81.68
2023-01-19 21:00:00,Milk,2027,318.0,95.09
2023-01-19 22:00:00,Yogurt,7876,268.0,95.02
2023-01-19 23:00:00,Cheese,1422,297.0,74.26
