Month,Product_Type,Market_Growth,Competitor_Sales
2023-07,Cheese,0.05,36111
2023-03,Milk,0.1,42268
2023-12,Yogurt,-0.09,57971
2023-12,ChocoMilk Deluxe,0.07,53482
2023-04,Milk,-0.06,53275
2023-02,Cheese,0.0,40903
2023-05,Milk,0.12,39236
2023-03,Cheese,-0.04,52792
2023-02,Cheese,0.18,51417
2023-06,Milk,0.16,47153
2023-06,Yogurt,-0.04,54164
2023-08,Yogurt,0.06,41032
2023-03,Cheese,0.18,59609
2023-07,Magic Yogurt,0.42,58908
2023-07,Milk,0.12,38963
2023-05,ChocoMilk Deluxe,-0.03,31707
2023-01,Magic Yogurt,0.42,33298
2023-02,Milk,0.04,58590
2023-01,Cheese,0.05,39232
2023-05,Yogurt,-0.09,50638
2023-07,Milk,0.13,50494
2023-09,Cheese,-0.1,36639
2023-03,Milk,0.1,49329
2023-12,ChocoMilk Deluxe,0.18,49297
2023-12,Cheese,0.05,32146
2023-09,ChocoMilk Deluxe,0.2,53868
2023-03,Yogurt,0.08,40276
2023-01,Cheese,-0.08,39202
2023-05,Yogurt,-0.06,44115
2023-03,Milk,0.16,36984
2023-05,Milk,-0.04,55570
2023-06,Cheese,0.06,33003
2023-08,Yogurt,-0.09,37171
2023-11,Yogurt,0.16,46191
2023-11,Milk,-0.06,55367
2023-02,Yogurt,0.09,56443
2023-03,Milk,0.03,42795
2023-07,Milk,-0.09,48227
2023-07,Cheese,0.01,45823
2023-02,ChocoMilk Deluxe,0.02,59123
2023-05,Cheese,-0.03,53106
2023-06,Milk,0.18,36361
2023-10,Yogurt,0.09,33618
2023-07,Cheese,-0.06,47231
2023-07,Milk,-0.07,54284
2023-11,ChocoMilk Deluxe,0.15,39837
2023-05,Yogurt,0.12,39949
2023-06,Yogurt,0.14,43046
2023-09,Yogurt,0.16,38115
2023-04,Milk,0.06,59309
2023-07,Cheese,-0.1,53899
2023-04,Cheese,-0.01,38684
2023-03,Milk,0.13,31326
2023-02,Yogurt,0.09,32710
2023-01,Cheese,-0.01,31015
2023-02,Magic Yogurt,0.42,34653
2023-07,Yogurt,0.14,45265
2023-07,Milk,0.05,37448
2023-09,ChocoMilk Deluxe,0.13,48085
2023-12,Milk,0.07,49069
2023-10,Yogurt,0.15,41268
2023-08,ChocoMilk Deluxe,0.18,33834
2023-06,Magic Yogurt,0.42,43619
2023-06,Cheese,0.11,56630
2023-11,Magic Yogurt,0.42,31436
2023-06,Cheese,0.13,57322
2023-12,ChocoMilk Deluxe,-0.02,46486
2023-01,Yogurt,0.13,47290
2023-08,Yogurt,0.1,43663
2023-09,Cheese,0.15,57550
2023-11,Milk,-0.04,48036
2023-12,ChocoMilk Deluxe,0.12,59940
2023-05,Milk,0.01,53336
2023-01,Milk,0.15,38028
2023-06,Cheese,0.18,34022
2023-05,Magic Yogurt,0.42,48866
2023-05,Milk,0.19,34905
2023-03,Cheese,0.01,42923
2023-02,Cheese,0.0,45806
2023-11,Milk,0.16,40794
2023-07,Milk,0.18,33158
2023-10,Magic Yogurt,0.42,48969
2023-06,ChocoMilk Deluxe,0.15,40891
2023-11,Milk,0.19,52062
2023-12,Milk,0.02,46431
2023-03,ChocoMilk Deluxe,0.11,31505
2023-10,Milk,0.08,46496
2023-02,Cheese,-0.04,30076
2023-02,Milk,-0.03,30824
2023-12,ChocoMilk Deluxe,-0.02,38475
2023-06,Milk,0.17,51534
2023-04,ChocoMilk Deluxe,-0.03,58277
2023-07,Cheese,0.09,59283
2023-05,Yogurt,0.04,47356
2023-11,Magic Yogurt,0.42,40533
2023-09,Yogurt,0.15,55077
2023-11,Milk,0.03,53234
2023-03,Yogurt,0.13,56530
2023-08,Milk,0.09,44437
2023-03,ChocoMilk Deluxe,-0.02,41425
2023-06,Cheese,0.11,48289
2023-04,Yogurt,0.01,57412
2023-12,Yogurt,0.19,54661
2023-10,Cheese,0.03,36660
2023-02,Cheese,0.04,41649
2023-04,ChocoMilk Deluxe,0.12,58563
2023-09,Yogurt,0.19,35250
2023-11,Cheese,0.08,50211
2023-10,Milk,-0.08,49146
2023-09,Cheese,0.1,49647
2023-11,Yogurt,0.16,59553
2023-04,Yogurt,0.09,34781
2023-10,Milk,0.09,40159
2023-08,Milk,0.08,50546
2023-04,Cheese,0.0,48729
2023-11,Milk,0.17,56715
2023-08,Milk,0.18,48079
2023-08,Cheese,0.1,52382
2023-10,Milk,0.07,59876
2023-04,Milk,0.04,42480
2023-03,Yogurt,0.17,31974
2023-09,Milk,-0.09,57160
2023-08,Yogurt,0.04,46954
2023-11,Yogurt,0.13,30866
2023-01,ChocoMilk Deluxe,-0.09,42451
2023-10,ChocoMilk Deluxe,0.04,43998
2023-03,Milk,-0.07,33674
2023-09,Cheese,0.12,33064
2023-01,ChocoMilk Deluxe,-0.07,33079
2023-02,Cheese,-0.0,51584
2023-07,Cheese,-0.01,46741
2023-11,Milk,0.19,44020
2023-11,Yogurt,0.17,57791
2023-04,Milk,-0.09,58385
2023-12,Yogurt,-0.09,55350
2023-07,Cheese,0.15,41260
2023-12,Yogurt,-0.07,36769
2023-02,Milk,0.11,53188
2023-09,Cheese,0.03,54090
2023-08,Milk,-0.07,51953
2023-07,Yogurt,0.14,31590
2023-08,Milk,0.03,32208
2023-04,Yogurt,0.16,37724
2023-10,ChocoMilk Deluxe,0.13,46601
2023-01,Cheese,-0.06,33329
2023-10,ChocoMilk Deluxe,0.2,50191
2023-10,Cheese,-0.05,43870
2023-10,Cheese,-0.07,30932
2023-11,Cheese,-0.07,40708
2023-07,Milk,-0.03,36765
2023-09,Milk,0.0,57226
2023-10,ChocoMilk Deluxe,0.02,42101
2023-12,ChocoMilk Deluxe,-0.05,56503
2023-05,Cheese,0.12,55096
2023-08,Yogurt,0.16,50292
2023-05,Milk,-0.03,57910
2023-08,Yogurt,0.08,38086
2023-02,Cheese,0.1,36976
2023-10,Milk,0.09,34224
2023-09,Yogurt,-0.05,36224
2023-10,ChocoMilk Deluxe,-0.01,49280
2023-08,Milk,0.06,57650
2023-05,Milk,-0.08,32948
2023-05,Yogurt,-0.05,48100
2023-08,Milk,-0.05,37677
2023-10,Yogurt,0.05,38651
2023-10,Cheese,-0.07,39374
2023-10,Cheese,0.03,56169
2023-03,Magic Yogurt,0.42,38604
2023-02,ChocoMilk Deluxe,0.11,47376
2023-09,Milk,0.08,41381
2023-08,Cheese,0.09,38669
2023-05,Yogurt,-0.04,32310
2023-08,Yogurt,0.03,37811
2023-07,Milk,0.04,47322
2023-06,ChocoMilk Deluxe,0.03,35980
2023-08,Yogurt,-0.06,38785
2023-02,Cheese,-0.05,31567
2023-03,Cheese,0.11,59439
2023-02,Yogurt,0.08,33498
2023-11,Milk,-0.01,45760
2023-12,Milk,0.05,46031
2023-03,Milk,0.19,37058
2023-01,Milk,0.18,49886
2023-05,Yogurt,0.15,33995
2023-01,Magic Yogurt,0.42,50361
2023-09,ChocoMilk Deluxe,-0.05,51911
2023-11,Yogurt,0.1,30327
2023-11,Milk,0.09,44947
2023-01,Milk,0.01,38588
2023-12,Yogurt,0.13,47706
2023-06,Cheese,-0.06,36836
2023-06,Cheese,-0.08,56184
2023-09,ChocoMilk Deluxe,0.01,42757
2023-11,Yogurt,0.17,54058
2023-01,ChocoMilk Deluxe,-0.04,34327
2023-06,Cheese,-0.09,47650
2023-07,Magic Yogurt,0.42,31038
2023-03,Milk,-0.03,53386
2023-09,Milk,0.18,32434
2023-03,Milk,0.14,43745
2023-02,ChocoMilk Deluxe,-0.04,58760
2023-10,Cheese,-0.06,57576
2023-11,Milk,0.02,48744
2023-10,Yogurt,0.03,50025
2023-04,Yogurt,0.2,47279
2023-11,Milk,0.03,47573
2023-08,Milk,0.08,40741
2023-10,ChocoMilk Deluxe,0.14,44097
2023-10,ChocoMilk Deluxe,0.11,39630
2023-11,Cheese,0.04,49226
2023-03,Milk,-0.06,38158
2023-09,Milk,-0.09,41753
2023-03,Cheese,0.15,57232
2023-03,Milk,0.19,58861
2023-06,ChocoMilk Deluxe,0.13,40930
2023-02,Milk,-0.08,45822
2023-04,Milk,-0.0,42238
2023-01,Cheese,0.1,36133
2023-11,Milk,-0.04,49709
2023-12,ChocoMilk Deluxe,-0.03,40312
2023-05,Milk,0.19,57643
2023-09,Cheese,0.12,39813
2023-11,ChocoMilk Deluxe,0.1,53857
2023-05,Yogurt,0.14,32009
2023-03,Yogurt,-0.09,36776
2023-09,Cheese,-0.06,47391
2023-03,Cheese,-0.06,36733
2023-01,ChocoMilk Deluxe,-0.0,47567
2023-05,Cheese,-0.01,54152
2023-04,Yogurt,0.07,31770
2023-06,Milk,0.16,52531
2023-08,Cheese,0.05,30909
2023-12,Yogurt,0.13,54828
2023-09,Cheese,0.07,30949
2023-05,Milk,-0.09,37904
2023-08,Yogurt,0.01,44193
2023-02,Milk,0.06,50396
2023-03,ChocoMilk Deluxe,0.18,32502
2023-03,Yogurt,0.1,38222
2023-12,Yogurt,0.1,32294
2023-01,Cheese,0.15,41553
2023-02,Cheese,0.13,44684
2023-01,ChocoMilk Deluxe,0.07,58188
2023-11,ChocoMilk Deluxe,0.19,54600
2023-12,ChocoMilk Deluxe,-0.09,33254
2023-04,ChocoMilk Deluxe,0.08,45882
2023-06,Milk,0.0,38413
2023-11,Milk,0.18,43472
2023-03,Cheese,0.17,55942
2023-08,Milk,-0.07,36897
2023-03,Milk,0.03,38935
2023-11,Milk,0.15,34775
2023-07,Milk,-0.05,52932
2023-03,Cheese,0.04,33134
2023-09,ChocoMilk Deluxe,0.1,50160
2023-10,Milk,0.08,59963
2023-05,Yogurt,0.13,38103
2023-12,Yogurt,0.19,30620
2023-10,ChocoMilk Deluxe,-0.03,30518
2023-09,Magic Yogurt,0.42,38479
2023-12,Cheese,-0.07,49400
2023-11,Milk,0.06,43666
2023-10,Yogurt,0.13,43447
2023-10,ChocoMilk Deluxe,0.07,33341
2023-04,Yogurt,0.02,49326
2023-07,ChocoMilk Deluxe,0.03,50170
2023-01,ChocoMilk Deluxe,-0.06,43699
2023-03,Yogurt,0.01,31931
2023-04,Milk,-0.03,33044
2023-05,Cheese,-0.08,45019
2023-10,Milk,0.03,46503
2023-04,ChocoMilk Deluxe,0.02,57145
2023-05,Cheese,0.07,49025
2023-02,Yogurt,0.1,58883
2023-12,Yogurt,0.0,59362
2023-11,ChocoMilk Deluxe,0.02,35983
2023-03,Milk,0.06,38410
2023-06,Cheese,0.16,37076
2023-09,Milk,0.09,50105
2023-07,ChocoMilk Deluxe,-0.06,37825
2023-02,Cheese,0.03,54216
2023-01,Milk,-0.08,39495
2023-04,Yogurt,0.01,33012
2023-12,Milk,-0.06,30374
2023-06,Cheese,0.2,41465
2023-02,Cheese,0.02,50533
2023-05,Milk,0.18,35801
2023-11,Yogurt,-0.08,56327
2023-07,Milk,-0.03,57645
2023-03,Milk,0.04,50695
2023-04,ChocoMilk Deluxe,0.18,40721
2023-04,Cheese,0.16,55399
2023-02,ChocoMilk Deluxe,0.12,51653
2023-01,ChocoMilk Deluxe,0.08,46559
2023-11,Cheese,-0.07,49757
2023-11,Yogurt,0.17,50919
2023-10,Cheese,0.09,51998
2023-01,Milk,0.04,54646
2023-02,ChocoMilk Deluxe,0.08,55086
2023-06,ChocoMilk Deluxe,-0.02,50092
2023-08,ChocoMilk Deluxe,0.08,46318
2023-01,Milk,0.12,33484
2023-06,ChocoMilk Deluxe,0.16,44996
2023-11,Cheese,0.19,55212
2023-04,Cheese,0.18,54737
2023-09,Yogurt,0.05,30975
2023-03,Milk,0.06,47876
2023-12,ChocoMilk Deluxe,0.1,30839
2023-11,Milk,-0.07,32364
2023-08,Magic Yogurt,0.42,42106
2023-03,Cheese,-0.1,37941
2023-11,Milk,0.15,39315
2023-03,ChocoMilk Deluxe,-0.08,52027
2023-07,Yogurt,0.2,48444
2023-06,ChocoMilk Deluxe,0.03,59954
2023-02,Milk,0.09,36498
2023-04,Yogurt,0.09,31041
2023-06,Milk,-0.02,50547
2023-12,Milk,-0.08,41746
2023-07,Cheese,0.11,49000
2023-06,Yogurt,0.09,58398
2023-05,Yogurt,-0.08,40553
2023-10,Cheese,-0.07,46934
2023-07,Yogurt,0.06,40819
2023-09,Yogurt,-0.08,37006
2023-01,Yogurt,0.06,30299
2023-10,Cheese,-0.03,30629
2023-08,Cheese,0.03,54942
2023-04,ChocoMilk Deluxe,-0.05,30890
2023-11,ChocoMilk Deluxe,0.09,30163
2023-10,Cheese,0.14,48521
2023-04,Yogurt,-0.07,39949
2023-07,Yogurt,-0.02,57695
2023-01,Yogurt,0.06,40161
2023-09,Milk,0.13,55479
2023-01,Cheese,-0.08,46767
2023-01,Yogurt,-0.05,31403
2023-03,Milk,-0.01,42390
2023-02,Magic Yogurt,0.42,42829
2023-04,Cheese,0.02,49312
2023-06,Milk,-0.03,56255
2023-06,Cheese,0.2,36987
2023-04,Cheese,0.03,49593
2023-01,Cheese,-0.01,34809
2023-05,Cheese,-0.07,46600
2023-12,Milk,0.13,55875
2023-09,Milk,0.01,30948
2023-02,Milk,0.04,31285
2023-03,ChocoMilk Deluxe,-0.05,46847
2023-04,Magic Yogurt,0.42,35948
2023-09,Magic Yogurt,0.42,43748
2023-06,Magic Yogurt,0.42,48281
2023-03,Cheese,0.04,49173
2023-08,ChocoMilk Deluxe,0.06,51793
2023-01,Cheese,0.01,55344
2023-09,ChocoMilk Deluxe,0.1,43341
2023-03,Cheese,-0.05,31638
2023-04,Cheese,0.12,50561
2023-04,Yogurt,0.06,47480
2023-07,Yogurt,0.19,53254
2023-06,Milk,-0.0,57757
2023-05,ChocoMilk Deluxe,-0.06,44860
2023-02,Milk,0.18,32647
2023-10,Milk,-0.06,52568
2023-06,Yogurt,-0.04,30882
2023-10,Milk,-0.09,36900
2023-07,Cheese,-0.04,47972
2023-09,Milk,0.17,45938
2023-01,Yogurt,0.1,35841
2023-12,Cheese,-0.0,36399
2023-10,Milk,0.16,59121
2023-02,Milk,0.14,44859
2023-11,Magic Yogurt,0.42,47084
2023-11,Milk,0.2,43835
2023-07,Magic Yogurt,0.42,52762
2023-07,Yogurt,0.16,43422
2023-07,Yogurt,0.19,33163
2023-04,Cheese,0.04,55200
2023-11,Yogurt,0.03,33200
2023-01,ChocoMilk Deluxe,0.05,37406
2023-09,Cheese,0.06,33588
2023-07,Cheese,0.11,51946
2023-07,Milk,0.19,53294
2023-12,Magic Yogurt,0.42,57919
2023-08,Yogurt,0.02,59257
2023-11,ChocoMilk Deluxe,0.11,45953
2023-11,Milk,0.12,37989
2023-03,Cheese,0.1,47120
2023-12,Cheese,-0.03,52848
2023-09,Cheese,-0.01,30827
2023-04,Milk,0.11,32167
2023-08,ChocoMilk Deluxe,0.2,41412
2023-01,Yogurt,-0.03,48136
2023-12,Yogurt,0.11,58718
2023-10,Yogurt,0.04,50311
2023-04,Milk,0.18,38521
2023-06,Yogurt,-0.05,43415
2023-07,Yogurt,-0.01,50616
2023-12,Milk,-0.03,44388
2023-12,Milk,0.01,50058
2023-11,Milk,0.1,31747
2023-08,Cheese,0.11,59185
2023-11,Yogurt,-0.04,39427
2023-07,Magic Yogurt,0.42,32957
2023-04,Cheese,0.11,54580
2023-01,Milk,0.12,57402
2023-01,ChocoMilk Deluxe,-0.01,56030
2023-04,Milk,-0.07,34894
2023-07,Milk,0.2,38420
2023-03,Cheese,0.18,41698
2023-08,Milk,-0.1,53683
2023-10,Yogurt,-0.05,32614
2023-06,Milk,0.14,46941
2023-05,Cheese,0.02,55507
2023-10,ChocoMilk Deluxe,-0.01,38495
2023-12,Milk,0.11,45585
2023-02,Yogurt,0.04,38897
2023-07,Yogurt,0.16,41522
2023-01,Yogurt,0.08,34427
2023-11,Yogurt,-0.05,41241
2023-10,Yogurt,0.06,40257
2023-02,Milk,0.03,51639
2023-12,Milk,-0.06,49213
2023-09,Milk,0.08,36317
2023-06,Cheese,0.02,58036
2023-02,Milk,0.15,48963
2023-12,Cheese,0.09,32909
2023-02,Cheese,0.06,51180
2023-07,Yogurt,0.04,47277
2023-11,Cheese,-0.04,30696
2023-05,Yogurt,0.04,51573
2023-04,Yogurt,-0.02,32187
2023-10,Yogurt,0.09,43718
2023-01,Milk,0.13,43114
2023-03,Cheese,0.1,40155
2023-02,Milk,0.19,37997
2023-11,Yogurt,-0.09,52780
2023-02,Cheese,0.0,51009
2023-01,Magic Yogurt,0.42,55304
2023-11,Milk,-0.0,55359
2023-02,Cheese,0.07,54198
2023-04,Milk,-0.06,48341
2023-11,ChocoMilk Deluxe,-0.01,57044
2023-02,Milk,0.05,54767
2023-07,Yogurt,0.09,53087
2023-09,Yogurt,0.15,50759
2023-12,Milk,0.03,37993
2023-02,Magic Yogurt,0.42,45475
2023-01,ChocoMilk Deluxe,-0.07,44538
2023-12,Yogurt,0.15,45797
2023-01,Magic Yogurt,0.42,46366
2023-05,Yogurt,0.15,30154
2023-04,Milk,0.15,41134
2023-09,Cheese,0.09,52690
2023-02,Milk,0.06,42338
2023-04,ChocoMilk Deluxe,-0.07,58088
2023-04,Cheese,0.18,32445
2023-06,Milk,-0.09,43342
2023-08,Cheese,0.01,36005
2023-12,Cheese,0.15,51463
2023-12,ChocoMilk Deluxe,0.03,37511
2023-10,Milk,0.04,49238
2023-04,Yogurt,0.15,32339
2023-03,Milk,-0.07,54665
2023-01,Yogurt,0.11,48783
2023-06,Cheese,0.08,58616
2023-01,Milk,0.2,40658
2023-04,Yogurt,0.05,37914
2023-03,ChocoMilk Deluxe,0.17,40490
2023-04,Cheese,0.11,49552
2023-02,Yogurt,0.09,52147
2023-01,Cheese,-0.01,41296
2023-11,Milk,0.11,59987
2023-09,Milk,-0.01,51843
2023-05,Cheese,0.14,57124
2023-02,Cheese,0.2,59452
2023-02,Yogurt,0.09,46599
2023-12,Yogurt,0.01,38918
2023-05,ChocoMilk Deluxe,0.0,31869
2023-04,Milk,0.0,41776
2023-07,Cheese,0.01,48573
2023-08,Yogurt,0.0,33838
2023-06,Milk,0.06,59282
2023-01,ChocoMilk Deluxe,0.15,58581
2023-03,Cheese,0.19,51857
2023-07,Milk,-0.02,54548
2023-03,Cheese,0.07,56311
2023-01,Cheese,0.14,39884
2023-10,Cheese,-0.06,46311
2023-07,Milk,0.02,55490
2023-01,Milk,-0.01,39335
2023-02,ChocoMilk Deluxe,0.09,42603
2023-03,Cheese,0.12,41851
2023-01,Milk,0.14,31786
2023-03,Yogurt,0.18,52847
2023-03,Milk,0.11,44770
2023-10,ChocoMilk Deluxe,0.03,30505
2023-10,Milk,0.03,30328
2023-08,Milk,0.13,48360
2023-11,Yogurt,0.18,59231
2023-10,ChocoMilk Deluxe,0.14,45718
2023-04,ChocoMilk Deluxe,-0.03,45417
2023-04,Yogurt,-0.07,32220
2023-06,Cheese,0.03,45677
2023-04,Yogurt,0.13,56244
2023-07,Yogurt,0.17,54189
2023-10,Cheese,0.11,50345
2023-09,Cheese,-0.09,44108
2023-12,Milk,0.01,42272
2023-07,Yogurt,0.01,49526
2023-04,Yogurt,0.16,38844
2023-07,Cheese,0.09,58420
2023-06,Milk,0.01,31845
2023-09,Yogurt,-0.09,32902
2023-10,Yogurt,0.02,57167
2023-05,Yogurt,0.03,59255
2023-02,Yogurt,-0.04,59331
2023-04,Yogurt,-0.02,38682
2023-06,Yogurt,-0.09,51995
2023-06,Milk,0.13,35078
2023-05,Cheese,-0.04,47099
2023-09,Magic Yogurt,0.42,50011
2023-09,Milk,0.01,48639
2023-06,ChocoMilk Deluxe,-0.07,51424
2023-09,Milk,-0.03,39144
2023-05,Milk,0.08,49293
2023-09,Milk,-0.05,55467
2023-09,Yogurt,-0.1,49334
2023-02,Cheese,0.01,41681
2023-03,Cheese,-0.09,37399
2023-08,Cheese,0.1,33480
2023-05,Milk,-0.08,59783
2023-07,Yogurt,0.16,53042
2023-06,Cheese,0.19,31974
2023-07,Cheese,0.15,51506
2023-12,Milk,0.09,55123
2023-01,Magic Yogurt,0.42,50832
2023-11,Yogurt,0.17,36605
2023-08,Cheese,-0.06,51845
2023-07,Cheese,-0.03,53833
2023-11,ChocoMilk Deluxe,-0.1,30900
2023-04,ChocoMilk Deluxe,-0.09,56529
2023-06,Yogurt,-0.05,44595
2023-10,Milk,-0.09,39519
2023-03,Milk,-0.09,38735
2023-01,Milk,0.08,32760
2023-10,ChocoMilk Deluxe,-0.04,31613
2023-02,Milk,0.14,55354
2023-10,Yogurt,0.04,31229
2023-05,Milk,-0.07,48104
2023-12,ChocoMilk Deluxe,0.11,55139
2023-05,Cheese,0.16,53704
2023-12,ChocoMilk Deluxe,0.07,46703
2023-04,ChocoMilk Deluxe,0.09,50202
2023-08,Milk,-0.07,56370
2023-03,Yogurt,0.15,46293
2023-11,Yogurt,0.0,41380
2023-07,Milk,0.01,53812
2023-12,Milk,0.15,57779
2023-06,Yogurt,-0.05,30671
2023-10,Cheese,-0.0,35474
2023-01,Milk,0.14,46732
2023-02,Milk,-0.06,50041
2023-04,Milk,-0.07,58507
2023-01,Magic Yogurt,0.42,35788
2023-08,Yogurt,0.07,42715
2023-04,Yogurt,-0.08,43378
2023-09,ChocoMilk Deluxe,0.07,48939
2023-11,Milk,-0.04,36235
2023-02,Magic Yogurt,0.42,54185
2023-12,Yogurt,0.17,36377
2023-12,Yogurt,-0.07,54854
2023-04,Milk,-0.05,40405
2023-09,Cheese,0.06,59423
2023-04,Yogurt,0.16,52457
2023-10,Milk,0.05,34348
2023-12,Yogurt,-0.05,46718
2023-04,Cheese,0.06,45097
2023-10,Milk,0.14,30840
2023-04,Milk,0.03,50707
2023-11,ChocoMilk Deluxe,0.02,42621
2023-09,ChocoMilk Deluxe,-0.05,58044
2023-08,Cheese,0.15,49497
2023-05,Cheese,-0.07,46896
2023-09,Milk,-0.02,39542
2023-11,Cheese,0.01,59329
2023-03,ChocoMilk Deluxe,0.17,48620
2023-02,Milk,0.18,53417
2023-07,Milk,-0.02,50158
2023-11,Milk,0.07,44697
2023-03,Cheese,0.19,48455
2023-04,Cheese,0.19,30462
2023-01,Milk,0.1,44241
2023-02,Milk,0.0,38928
2023-04,Cheese,-0.07,37817
2023-10,Milk,-0.05,51705
2023-11,Yogurt,0.05,42060
2023-08,Cheese,-0.09,45390
2023-11,Yogurt,0.2,37929
2023-01,Yogurt,-0.02,32055
2023-01,ChocoMilk Deluxe,-0.02,42496
2023-05,Cheese,0.04,54349
2023-03,Yogurt,-0.04,37721
2023-02,Yogurt,0.14,48990
2023-08,Yogurt,-0.03,58456
2023-04,ChocoMilk Deluxe,-0.04,56348
2023-01,Yogurt,0.14,55215
2023-12,Yogurt,0.13,55367
2023-09,ChocoMilk Deluxe,0.18,53340
2023-11,Yogurt,-0.0,33152
2023-08,Milk,0.01,40320
2023-11,ChocoMilk Deluxe,0.12,36825
2023-05,Milk,-0.02,57539
2023-05,Yogurt,0.1,34623
2023-03,Yogurt,0.07,57340
2023-07,Milk,0.09,53618
2023-02,Milk,0.0,34073
2023-12,Cheese,0.14,39339
2023-01,ChocoMilk Deluxe,0.15,38936
2023-11,Cheese,-0.03,35680
2023-11,Yogurt,0.13,48894
2023-10,Milk,0.14,57795
2023-12,Yogurt,-0.09,54089
2023-04,Cheese,0.02,33569
2023-10,Cheese,0.15,33300
2023-12,ChocoMilk Deluxe,0.09,34197
2023-10,Magic Yogurt,0.42,54868
2023-05,Yogurt,-0.04,40150
2023-05,Magic Yogurt,0.42,41503
2023-05,Cheese,0.16,49117
2023-01,ChocoMilk Deluxe,0.0,51881
2023-12,Cheese,-0.06,59077
2023-11,Cheese,0.18,36907
2023-09,Milk,0.08,41205
2023-08,Cheese,0.01,59085
2023-06,Yogurt,0.16,50377
2023-05,ChocoMilk Deluxe,0.14,44637
2023-03,Cheese,0.1,42191
2023-02,Milk,-0.01,55501
2023-01,ChocoMilk Deluxe,-0.08,54902
2023-05,Magic Yogurt,0.42,45154
2023-10,Milk,-0.05,54286
2023-11,Yogurt,0.04,42826
2023-01,Yogurt,-0.01,45553
2023-08,Milk,0.17,41179
2023-07,ChocoMilk Deluxe,-0.0,30171
2023-01,Yogurt,0.02,59921
2023-03,Milk,-0.01,32754
2023-03,Cheese,-0.05,39011
2023-01,Milk,-0.03,52245
2023-07,Cheese,-0.0,30375
2023-09,Yogurt,0.17,48355
2023-08,ChocoMilk Deluxe,0.17,51332
2023-08,Cheese,-0.04,36214
2023-08,Cheese,0.16,56740
2023-04,Milk,0.1,54072
2023-09,Cheese,0.0,59656
2023-03,ChocoMilk Deluxe,-0.08,46629
2023-12,Milk,0.08,54340
2023-11,Milk,0.01,57543
2023-09,Yogurt,0.11,44555
2023-10,Milk,0.18,48090
2023-10,Magic Yogurt,0.42,49490
2023-06,Cheese,0.06,53445
2023-01,Yogurt,-0.04,41510
2023-08,Yogurt,0.13,41836
2023-07,Yogurt,0.19,58336
2023-04,Milk,-0.06,37043
2023-09,Cheese,0.19,38132
2023-09,Milk,0.2,48090
2023-03,Milk,0.07,49042
2023-07,Yogurt,0.16,38183
2023-10,Yogurt,0.05,33725
2023-10,Cheese,-0.09,51425
2023-02,Milk,0.01,59393
2023-07,Yogurt,0.02,52878
2023-12,ChocoMilk Deluxe,0.09,39395
2023-01,ChocoMilk Deluxe,0.02,53638
2023-10,Yogurt,-0.02,38835
2023-06,Milk,0.09,55707
2023-01,Cheese,0.12,50309
2023-03,Yogurt,0.02,59210
2023-12,ChocoMilk Deluxe,0.15,48625
2023-09,Cheese,-0.06,50424
2023-10,Milk,-0.03,36091
2023-05,Milk,0.06,54431
2023-04,Cheese,0.08,38932
