Month,Product_Type,Region,Sales_Amount
2023-12,Cheese,South,28210
2023-08,Milk,South,28598
2023-03,Yogurt,East,17079
2023-01,Milk,North,11951
2023-04,ChocoMilk Deluxe,West,100780
2023-02,ChocoMilk Deluxe,North,218630
2023-08,Milk,West,17934
2023-04,Milk,East,10618
2023-02,Cheese,North,21923
2023-06,ChocoMilk Deluxe,South,187790
2023-06,Cheese,East,29093
2023-10,Cheese,North,22073
2023-04,Yogurt,East,31585
2023-06,Milk,West,20126
2023-02,Cheese,North,24944
2023-10,Milk,North,26779
2023-12,Yogurt,North,5548
2023-02,Milk,South,4000
2023-10,Cheese,East,24441
2023-04,ChocoMilk Deluxe,South,186250
2023-08,Cheese,South,15465
2023-07,Yogurt,East,19128
2023-12,Milk,East,18916
2023-09,Cheese,North,11226
2023-08,Milk,North,31006
2023-05,Yogurt,East,38392
2023-02,Milk,North,23545
2023-05,Milk,West,26562
2023-08,Milk,North,12201
2023-10,Cheese,East,23778
2023-09,Cheese,South,13622
2023-12,Yogurt,East,23938
2023-12,Milk,East,19650
2023-12,Yogurt,South,16961
2023-09,Cheese,West,11407
2023-01,Cheese,North,27255
2023-09,ChocoMilk Deluxe,West,287110
2023-07,Cheese,South,20410
2023-09,Milk,West,12516
2023-08,Yogurt,South,11825
2023-01,ChocoMilk Deluxe,East,256660
2023-12,Cheese,West,18919
2023-08,ChocoMilk Deluxe,North,114820
2023-08,Yogurt,North,28720
2023-11,Cheese,South,26304
2023-03,Yogurt,East,32154
2023-01,Cheese,West,21693
2023-08,Cheese,West,22240
2023-03,Cheese,South,27875
2023-03,Yogurt,West,12755
2023-01,Cheese,North,8293
2023-11,Milk,North,26631
2023-05,Yogurt,West,24280
2023-10,Yogurt,West,7675
2023-07,ChocoMilk Deluxe,East,254910
2023-10,Cheese,East,9248
2023-09,Milk,West,7124
2023-12,Milk,West,27685
2023-07,Yogurt,South,24333
2023-09,Milk,East,14380
2023-08,ChocoMilk Deluxe,West,230490
2023-12,Milk,South,12339
2023-02,ChocoMilk Deluxe,East,171230
2023-01,Yogurt,South,20179
2023-07,ChocoMilk Deluxe,West,78980
2023-07,Milk,North,23060
2023-08,Yogurt,North,20869
2023-05,Milk,North,18924
2023-03,Milk,North,18791
2023-12,Cheese,West,14723
2023-08,Yogurt,North,10836
2023-06,Milk,North,29024
2023-11,ChocoMilk Deluxe,West,199340
2023-03,Milk,East,19688
2023-01,Cheese,East,7445
2023-03,Milk,East,21338
2023-05,Yogurt,South,28909
2023-03,Milk,East,5892
2023-01,ChocoMilk Deluxe,West,245220
2023-05,Cheese,East,18344
2023-10,ChocoMilk Deluxe,South,133340
2023-07,Milk,South,32701
2023-07,Cheese,North,12661
2023-11,Yogurt,West,24652
2023-09,ChocoMilk Deluxe,East,258570
2023-10,Cheese,East,28110
2023-10,ChocoMilk Deluxe,West,289340
2023-12,Milk,West,26612
2023-03,Yogurt,West,20925
2023-07,Cheese,West,18552
2023-01,Milk,West,9739
2023-04,Cheese,West,30553
2023-04,ChocoMilk Deluxe,West,169820
2023-05,ChocoMilk Deluxe,South,193160
2023-07,Cheese,North,18380
2023-07,ChocoMilk Deluxe,East,221700
2023-11,Cheese,South,12105
2023-04,Yogurt,South,5465
2023-07,Milk,East,28949
2023-11,Yogurt,South,15711
2023-03,Milk,West,4249
2023-06,Milk,South,10241
2023-12,Yogurt,East,34666
2023-02,ChocoMilk Deluxe,North,168310
2023-10,Yogurt,East,10486
2023-09,ChocoMilk Deluxe,North,140010
2023-05,ChocoMilk Deluxe,West,78810
2023-06,Milk,South,26503
2023-12,Cheese,East,30545
2023-12,Yogurt,East,10621
2023-12,ChocoMilk Deluxe,North,155240
2023-12,ChocoMilk Deluxe,South,146220
2023-04,Yogurt,East,15232
2023-11,Yogurt,East,24955
2023-10,Yogurt,South,5264
2023-07,Milk,West,12639
2023-12,Milk,North,28849
2023-09,Yogurt,East,34720
2023-07,ChocoMilk Deluxe,South,291300
2023-01,ChocoMilk Deluxe,West,295820
2023-01,Cheese,East,20670
2023-09,Yogurt,West,19404
2023-11,ChocoMilk Deluxe,East,295880
2023-09,Yogurt,East,30937
2023-04,Cheese,West,28863
2023-09,Yogurt,North,24151
2023-03,Yogurt,West,5947
2023-07,Yogurt,South,16904
2023-06,Yogurt,East,13171
2023-08,ChocoMilk Deluxe,West,83460
2023-11,Milk,West,21515
2023-09,Cheese,East,19755
2023-05,Yogurt,East,32004
2023-01,Milk,West,25513
2023-03,ChocoMilk Deluxe,North,285930
2023-10,Milk,East,21686
2023-12,Cheese,West,30442
2023-08,ChocoMilk Deluxe,South,167840
2023-11,Milk,North,9821
2023-06,ChocoMilk Deluxe,South,95350
2023-08,Yogurt,East,36739
2023-09,Milk,East,21003
2023-04,ChocoMilk Deluxe,North,255880
2023-01,Milk,East,8972
2023-01,Cheese,South,28673
2023-10,Milk,West,23940
2023-04,Milk,West,14719
2023-12,ChocoMilk Deluxe,South,188830
2023-07,Yogurt,South,7621
2023-02,Milk,East,6864
2023-03,Yogurt,East,15993
2023-01,Yogurt,North,24485
2023-05,ChocoMilk Deluxe,West,250330
2023-01,Cheese,North,7405
2023-08,ChocoMilk Deluxe,South,164240
2023-01,Cheese,South,9039
2023-11,Yogurt,North,6382
2023-01,ChocoMilk Deluxe,North,178370
2023-02,Milk,West,24155
2023-02,Milk,South,9469
2023-12,Cheese,North,13392
2023-06,Milk,West,23524
2023-07,Milk,East,4243
2023-05,Yogurt,East,14694
2023-01,Cheese,West,17240
2023-01,Cheese,North,10996
2023-03,Cheese,West,14867
2023-02,Milk,West,32964
2023-05,Cheese,North,18293
2023-12,Yogurt,East,41512
2023-10,Milk,West,13699
2023-06,ChocoMilk Deluxe,East,293490
2023-07,Cheese,West,7129
2023-04,ChocoMilk Deluxe,South,72380
2023-07,Milk,North,22703
2023-11,Yogurt,East,8107
2023-08,Yogurt,North,9183
2023-11,ChocoMilk Deluxe,East,97020
2023-01,Yogurt,East,15828
2023-06,ChocoMilk Deluxe,North,93690
2023-08,Yogurt,West,13252
2023-05,Yogurt,West,13273
2023-04,ChocoMilk Deluxe,South,183890
2023-02,Yogurt,East,13168
2023-06,Cheese,North,10574
2023-06,Milk,East,21459
2023-11,ChocoMilk Deluxe,West,291030
2023-01,Cheese,North,22419
2023-09,Yogurt,North,15911
2023-12,Milk,East,8921
2023-11,Cheese,South,26778
2023-06,Yogurt,West,29683
2023-03,Yogurt,West,29290
2023-04,Cheese,East,19892
2023-12,Milk,East,24718
2023-11,Cheese,South,7421
2023-04,Yogurt,West,15635
2023-03,Milk,South,13233
2023-10,Yogurt,North,23264
2023-03,Yogurt,North,8006
2023-03,ChocoMilk Deluxe,South,114770
2023-04,Milk,South,6836
2023-07,Milk,East,25463
2023-04,Cheese,West,18229
2023-09,Cheese,West,23235
2023-01,Milk,West,9223
2023-08,ChocoMilk Deluxe,South,275450
2023-07,Cheese,East,9581
2023-02,Cheese,East,11328
2023-08,Cheese,East,21628
2023-01,ChocoMilk Deluxe,South,283390
2023-11,Milk,South,15155
2023-12,Milk,East,29100
2023-09,Milk,South,7191
2023-09,Yogurt,North,11413
2023-02,ChocoMilk Deluxe,West,182860
2023-07,Cheese,West,12078
2023-10,Milk,West,17326
2023-03,Milk,North,7448
2023-07,Yogurt,East,9777
2023-12,Milk,West,8434
2023-10,ChocoMilk Deluxe,South,231260
2023-09,Milk,North,21131
2023-04,Milk,East,5697
2023-12,Milk,North,15860
2023-01,ChocoMilk Deluxe,West,142410
2023-02,Yogurt,East,10821
2023-01,ChocoMilk Deluxe,West,138760
2023-12,Cheese,East,22644
2023-05,Milk,West,22561
2023-05,Yogurt,East,21382
2023-11,Cheese,North,19487
2023-07,Yogurt,East,13410
2023-09,Cheese,East,10464
2023-09,Milk,North,15420
2023-03,Milk,East,21244
2023-03,Yogurt,North,28114
2023-03,Cheese,West,28281
2023-04,ChocoMilk Deluxe,West,245520
2023-08,Cheese,West,13958
2023-06,ChocoMilk Deluxe,East,113410
2023-08,Cheese,South,30166
2023-01,Milk,South,11583
2023-08,ChocoMilk Deluxe,West,55580
2023-04,Cheese,North,26733
2023-11,Yogurt,East,34405
2023-01,Yogurt,North,9609
2023-08,Cheese,East,31368
2023-04,Yogurt,North,26605
2023-06,ChocoMilk Deluxe,West,103010
2023-08,Cheese,South,20591
2023-04,Yogurt,North,7461
2023-03,Yogurt,West,7538
2023-09,Milk,South,31643
2023-03,Cheese,South,28475
2023-09,Milk,South,7731
2023-02,Yogurt,North,21078
2023-02,ChocoMilk Deluxe,North,188800
2023-02,Yogurt,South,15490
2023-06,Milk,North,6080
2023-03,Cheese,West,11896
2023-09,ChocoMilk Deluxe,East,241150
2023-04,Cheese,South,13572
2023-01,ChocoMilk Deluxe,East,287560
2023-04,Yogurt,South,6948
2023-01,Milk,East,23338
2023-05,Milk,South,17323
2023-04,Cheese,West,6768
2023-08,Yogurt,South,21274
2023-08,ChocoMilk Deluxe,West,59580
2023-07,Yogurt,South,29833
2023-03,Cheese,North,20141
2023-01,Milk,East,28247
2023-01,Yogurt,West,12271
2023-12,Milk,South,34670
2023-11,Yogurt,North,9335
2023-03,Milk,South,8699
2023-06,Milk,East,13703
2023-07,Milk,South,19484
2023-06,Milk,North,15919
2023-06,Yogurt,South,24953
2023-06,Milk,South,23890
2023-03,ChocoMilk Deluxe,West,148780
2023-06,Yogurt,West,25613
2023-08,Cheese,South,10916
2023-11,Cheese,South,11150
2023-11,Yogurt,North,14669
2023-02,Milk,South,11184
2023-05,ChocoMilk Deluxe,East,240680
2023-01,Yogurt,West,7031
2023-12,Milk,East,17895
2023-01,Yogurt,South,24280
2023-05,Cheese,North,7499
2023-12,Milk,East,21044
2023-03,ChocoMilk Deluxe,South,110460
2023-04,Milk,West,10854
2023-03,Yogurt,South,21794
2023-01,ChocoMilk Deluxe,West,299490
2023-01,Milk,North,22783
2023-12,Milk,West,30675
2023-12,Milk,South,25652
2023-05,Milk,North,13761
2023-06,Milk,West,13171
2023-03,ChocoMilk Deluxe,West,52710
2023-12,ChocoMilk Deluxe,East,152450
2023-09,Yogurt,West,8535
2023-05,Cheese,South,27998
2023-08,ChocoMilk Deluxe,North,193490
2023-01,Cheese,South,8074
2023-05,Cheese,West,15152
2023-03,Cheese,South,13579
2023-12,Milk,East,21328
2023-01,ChocoMilk Deluxe,South,221800
2023-04,Yogurt,North,13166
2023-05,Yogurt,North,12555
2023-07,Yogurt,West,23918
2023-01,Yogurt,North,22575
2023-03,Milk,South,4748
2023-02,Cheese,West,17371
2023-09,ChocoMilk Deluxe,South,177930
2023-10,Milk,East,11097
2023-06,ChocoMilk Deluxe,South,158720
2023-10,Cheese,North,19971
2023-03,Milk,North,6026
2023-08,Cheese,East,18701
2023-08,ChocoMilk Deluxe,West,82030
2023-02,Cheese,North,23035
2023-06,Yogurt,North,5273
2023-07,Cheese,North,24008
2023-02,Yogurt,East,23850
2023-11,Milk,East,24589
2023-10,Milk,North,25143
2023-02,Milk,West,13488
2023-10,Milk,North,14141
2023-01,Milk,South,34496
2023-08,Yogurt,South,18404
2023-01,Cheese,West,29980
2023-09,Milk,North,15540
2023-11,Milk,West,29671
2023-06,Milk,South,5013
2023-07,Cheese,North,21835
2023-10,Milk,North,23772
2023-07,Cheese,South,28820
2023-10,Cheese,West,13906
2023-03,Yogurt,West,5766
2023-02,Yogurt,East,9939
2023-09,Milk,East,32502
2023-08,Milk,East,31312
2023-12,Milk,West,6632
2023-10,Milk,North,21731
2023-07,Milk,North,17317
2023-09,Yogurt,East,44575
2023-04,Milk,West,8957
2023-04,ChocoMilk Deluxe,East,106240
2023-01,Milk,West,9129
2023-08,Yogurt,West,7877
2023-12,Yogurt,East,14409
2023-03,Cheese,North,20562
2023-07,Cheese,North,25309
2023-12,Yogurt,West,20910
2023-02,ChocoMilk Deluxe,South,103940
2023-02,Cheese,South,17624
2023-07,Milk,South,19433
2023-06,Cheese,East,27339
2023-03,Milk,North,11890
2023-09,ChocoMilk Deluxe,South,175530
2023-10,Yogurt,South,12155
2023-06,Milk,South,19590
2023-10,Milk,South,7198
2023-10,Milk,East,11403
2023-06,ChocoMilk Deluxe,North,219540
2023-01,ChocoMilk Deluxe,North,240260
2023-04,Milk,North,31213
2023-10,Cheese,South,9731
2023-06,ChocoMilk Deluxe,West,243720
2023-06,Milk,East,10326
2023-11,Milk,East,18309
2023-12,Cheese,East,30586
2023-05,Milk,North,4900
2023-01,Milk,North,21175
2023-08,ChocoMilk Deluxe,East,67980
2023-05,Yogurt,South,28902
2023-12,Cheese,West,16862
2023-12,Cheese,North,16963
2023-12,Yogurt,North,12597
2023-05,Cheese,South,26631
2023-07,Milk,South,18892
2023-04,Milk,North,16211
2023-06,Yogurt,South,17451
2023-04,Milk,South,17467
2023-03,Milk,South,9418
2023-07,Cheese,West,28164
2023-08,Milk,West,11585
2023-04,ChocoMilk Deluxe,West,88850
2023-02,Yogurt,South,16973
2023-12,Milk,South,28717
2023-10,Milk,West,28644
2023-03,Yogurt,West,15518
2023-01,Cheese,East,26323
2023-08,Yogurt,North,22593
2023-03,Cheese,West,19375
2023-12,Cheese,East,19311
2023-10,ChocoMilk Deluxe,East,254060
2023-07,Cheese,West,31251
2023-10,Cheese,East,22368
2023-05,Yogurt,West,17388
2023-10,ChocoMilk Deluxe,North,160050
2023-05,Yogurt,North,19199
2023-07,Yogurt,North,15914
2023-09,Cheese,West,16671
2023-12,Cheese,East,10844
2023-05,Milk,West,13254
2023-01,Yogurt,North,27312
2023-10,Milk,East,12503
2023-10,Milk,South,9387
2023-01,ChocoMilk Deluxe,North,151110
2023-02,Cheese,West,10205
2023-06,Milk,West,11686
2023-09,Milk,West,21176
2023-08,Cheese,South,28335
2023-05,Cheese,East,14977
2023-01,Milk,West,18213
2023-07,Milk,West,26251
2023-05,Milk,West,14535
2023-06,Milk,North,19889
2023-07,Milk,North,10216
2023-03,Cheese,South,18640
2023-12,Milk,East,18440
2023-10,Milk,East,17161
2023-03,ChocoMilk Deluxe,West,199350
2023-05,ChocoMilk Deluxe,West,108770
2023-06,Milk,North,18967
2023-09,Milk,North,28497
2023-12,Cheese,North,24435
2023-05,Yogurt,North,27906
2023-01,ChocoMilk Deluxe,West,258350
2023-04,Cheese,North,27547
2023-05,Yogurt,East,31132
2023-12,ChocoMilk Deluxe,North,259170
2023-10,Cheese,South,11259
2023-10,Milk,North,14019
2023-05,Cheese,West,29292
2023-07,Milk,West,30714
2023-04,Milk,West,14586
2023-01,Yogurt,North,9141
2023-05,Milk,East,28696
2023-07,Milk,West,9144
2023-10,ChocoMilk Deluxe,East,235510
2023-10,Cheese,West,18521
2023-06,Milk,West,16962
2023-05,Milk,East,14075
2023-04,Milk,South,7330
2023-02,Milk,West,19608
2023-04,ChocoMilk Deluxe,East,142150
2023-10,Milk,West,23878
2023-10,Yogurt,North,28658
2023-03,Milk,East,22496
2023-10,ChocoMilk Deluxe,West,140110
2023-01,Yogurt,South,27035
2023-08,ChocoMilk Deluxe,North,63620
2023-05,Cheese,West,7058
2023-04,ChocoMilk Deluxe,North,261690
2023-08,ChocoMilk Deluxe,South,197100
2023-07,Yogurt,East,37627
2023-02,Milk,West,28438
2023-01,Milk,East,9616
2023-12,Milk,West,9534
2023-11,Milk,West,28111
2023-04,Yogurt,East,32434
2023-08,Yogurt,East,30951
2023-12,Cheese,West,11133
2023-02,Milk,South,14546
2023-03,Milk,South,8071
2023-12,Milk,West,6930
2023-01,Cheese,East,16329
2023-01,Yogurt,South,12712
2023-03,Milk,West,6000
2023-11,Yogurt,North,19252
2023-05,Cheese,West,23239
2023-12,ChocoMilk Deluxe,East,270050
2023-03,Milk,West,17112
2023-01,Cheese,North,11694
2023-01,Milk,North,17032
2023-08,Cheese,West,16061
2023-10,Cheese,North,11300
2023-11,Yogurt,West,25679
2023-12,Milk,East,15882
2023-12,Milk,East,18046
2023-02,Yogurt,East,26056
2023-03,Cheese,South,12986
2023-02,Cheese,West,10766
2023-03,ChocoMilk Deluxe,East,69070
2023-07,Cheese,West,9388
2023-01,Yogurt,North,12983
2023-10,Yogurt,East,23185
2023-08,ChocoMilk Deluxe,South,203250
2023-10,Yogurt,East,33961
2023-10,Milk,South,15504
2023-10,Cheese,North,9207
2023-02,ChocoMilk Deluxe,West,184690
2023-03,Milk,North,13971
2023-09,Yogurt,North,12267
2023-07,ChocoMilk Deluxe,North,55550
2023-04,Yogurt,North,13160
2023-10,Cheese,North,12625
2023-05,Milk,West,8901
2023-02,Cheese,South,7473
2023-11,Milk,North,5590
2023-08,ChocoMilk Deluxe,East,139850
2023-04,Yogurt,South,7719
2023-09,Yogurt,South,28043
2023-05,Cheese,East,8262
2023-09,Milk,East,21142
2023-04,Milk,East,31401
2023-10,Milk,East,6687
2023-05,Cheese,East,12089
2023-09,Cheese,North,14294
2023-08,Cheese,South,11249
2023-03,Cheese,East,29195
2023-01,ChocoMilk Deluxe,East,119770
2023-03,Milk,West,24597
2023-04,Yogurt,South,27721
2023-02,Milk,South,6606
2023-01,Cheese,North,27441
2023-07,Milk,South,14394
2023-08,Yogurt,East,16306
2023-07,Milk,West,9023
2023-05,Milk,South,30672
2023-12,ChocoMilk Deluxe,West,194960
2023-01,Milk,East,10452
2023-07,Cheese,West,7404
2023-07,Cheese,South,24076
2023-09,Cheese,South,24577
2023-03,Yogurt,North,16752
2023-09,Yogurt,East,26671
2023-01,Milk,North,21259
2023-01,Milk,North,5553
2023-04,Yogurt,East,41824
2023-09,Cheese,South,19312
2023-06,ChocoMilk Deluxe,West,209800
2023-11,Cheese,North,16784
2023-03,Yogurt,South,8933
2023-01,ChocoMilk Deluxe,South,245570
2023-04,Yogurt,North,19356
2023-12,Cheese,North,13719
2023-09,Yogurt,North,7414
2023-03,Cheese,South,22045
2023-12,Yogurt,East,23689
2023-09,Milk,East,10831
2023-07,Yogurt,North,10504
2023-12,Milk,West,7847
2023-04,Milk,South,35432
2023-03,Yogurt,West,8952
2023-10,Milk,North,12300
2023-05,Yogurt,South,19382
2023-05,ChocoMilk Deluxe,East,145270
2023-03,ChocoMilk Deluxe,East,225170
2023-12,Yogurt,West,25665
2023-09,Cheese,North,19272
2023-04,Cheese,West,29686
2023-11,Cheese,North,19039
2023-05,Milk,East,16883
2023-04,Cheese,South,19908
2023-05,Yogurt,East,34092
2023-07,Milk,West,18483
2023-09,Milk,South,7678
2023-07,Yogurt,North,13252
2023-05,Milk,East,26481
2023-10,Milk,North,16954
2023-10,Milk,East,6730
2023-07,Yogurt,North,6891
2023-10,Yogurt,East,39948
2023-05,Yogurt,East,19113
2023-03,Milk,North,27214
2023-07,Yogurt,East,34983
2023-11,Yogurt,East,43659
2023-11,Cheese,East,29607
2023-02,Cheese,West,11142
2023-12,Yogurt,East,8652
2023-09,Cheese,North,23868
2023-10,Yogurt,North,13398
2023-10,Milk,West,7910
2023-12,Cheese,East,30683
2023-01,Cheese,West,28556
2023-06,Cheese,West,21375
2023-07,Cheese,East,18512
2023-08,ChocoMilk Deluxe,North,221420
2023-10,ChocoMilk Deluxe,East,192500
2023-09,Yogurt,West,10257
2023-02,Yogurt,South,11465
2023-11,Milk,West,16792
2023-10,Yogurt,North,28436
2023-02,Cheese,East,8226
2023-05,Cheese,South,28280
2023-05,Milk,West,14686
2023-06,Milk,West,4612
2023-03,Milk,West,28792
2023-08,Milk,East,30431
2023-01,Milk,East,28979
2023-06,Yogurt,West,10357
2023-04,Milk,East,31448
2023-01,Cheese,South,24952
2023-07,ChocoMilk Deluxe,South,213530
2023-09,Milk,North,5462
2023-04,ChocoMilk Deluxe,East,186840
2023-04,Yogurt,East,12292
2023-06,Cheese,West,14235
2023-12,Milk,South,17853
2023-03,Milk,East,10443
2023-12,Cheese,East,5843
2023-06,Milk,East,14697
2023-07,Milk,West,20680
2023-11,Milk,South,25965
2023-10,Yogurt,East,37770
2023-10,Milk,East,20930
2023-03,Yogurt,West,16928
2023-07,Milk,North,8267
2023-03,Yogurt,West,15008
2023-02,Milk,East,15630
2023-12,Yogurt,South,23157
2023-10,Cheese,South,12577
2023-04,Yogurt,East,14878
2023-12,Milk,North,19756
2023-08,Cheese,West,8348
2023-09,Milk,East,25697
2023-07,Cheese,East,10489
2023-01,Milk,East,20215
2023-03,Cheese,West,26975
2023-12,Milk,South,10976
2023-09,Milk,West,17954
2023-12,Yogurt,East,32698
2023-01,ChocoMilk Deluxe,South,110870
2023-09,Cheese,North,18013
2023-08,Yogurt,East,28816
2023-01,Cheese,South,9716
2023-06,Cheese,South,9501
2023-05,Milk,South,7440
2023-06,Milk,East,19542
2023-10,ChocoMilk Deluxe,North,156310
2023-12,Cheese,South,22347
2023-05,Yogurt,East,35814
2023-06,Cheese,South,22253
2023-05,Cheese,West,11414
2023-11,Cheese,South,20828
2023-12,Yogurt,East,31839
2023-05,Milk,South,17605
2023-04,Cheese,South,10011
2023-03,Cheese,West,23063
2023-03,ChocoMilk Deluxe,West,168180
2023-04,Cheese,East,27241
2023-09,Yogurt,North,13500
2023-02,Milk,North,22947
2023-09,Milk,North,6508
2023-01,ChocoMilk Deluxe,North,186620
2023-01,Yogurt,East,24195
2023-05,Cheese,East,21055
2023-06,Cheese,West,18423
2023-06,Milk,West,21516
2023-03,Yogurt,North,17050
2023-07,Milk,West,31597
2023-09,Yogurt,East,22546
2023-11,Cheese,North,21433
2023-12,Milk,South,13345
2023-10,ChocoMilk Deluxe,South,133010
2023-08,ChocoMilk Deluxe,South,299130
2023-06,Milk,West,21955
2023-12,ChocoMilk Deluxe,North,55060
2023-08,Yogurt,South,15412
2023-12,Yogurt,North,24449
2023-05,ChocoMilk Deluxe,East,131630
2023-08,Cheese,South,8617
2023-10,Yogurt,South,9894
2023-12,ChocoMilk Deluxe,South,156380
2023-04,Cheese,East,20437
2023-10,Cheese,North,7188
2023-08,Cheese,South,22286
2023-10,Yogurt,South,26752
2023-12,Yogurt,North,29128
2023-02,Cheese,West,18624
2023-12,Cheese,West,17398
2023-12,Milk,South,21557
2023-05,Milk,South,16563
2023-09,Cheese,West,28839
2023-04,Cheese,West,7062
2023-11,Yogurt,South,29028
2023-06,Cheese,North,16792
2023-01,ChocoMilk Deluxe,West,177750
2023-09,Milk,South,19951
2023-01,ChocoMilk Deluxe,East,106570
2023-05,Milk,North,8189
2023-04,Yogurt,South,26860
2023-12,Cheese,East,32023
2023-03,Cheese,West,20673
2023-06,Milk,East,7293
2023-02,Milk,East,18416
2023-03,Yogurt,East,30691
2023-05,Cheese,West,6525
2023-09,ChocoMilk Deluxe,East,121490
2023-02,Cheese,West,29882
2023-10,ChocoMilk Deluxe,South,156150
2023-08,Milk,East,20559
2023-02,Milk,North,6152
2023-11,Cheese,South,30463
2023-05,ChocoMilk Deluxe,West,153410
2023-07,Cheese,South,19282
2023-08,Milk,East,10067
2023-01,Milk,West,19306
2023-06,Cheese,East,10126
2023-01,Yogurt,South,20102
2023-02,Cheese,North,24895
2023-01,Yogurt,South,25641
2023-11,Yogurt,South,23348
2023-05,ChocoMilk Deluxe,East,234630
2023-10,Cheese,North,16187
2023-09,Cheese,East,28485
2023-06,ChocoMilk Deluxe,East,153360
2023-11,Cheese,East,13330
2023-11,Cheese,West,24611
2023-01,ChocoMilk Deluxe,East,297730
2023-01,Milk,North,7732
2023-02,Cheese,East,19969
2023-09,Milk,East,30424
2023-03,Milk,North,15604
2023-01,Milk,South,8669
2023-05,Milk,East,11975
2023-07,Cheese,South,29399
2023-06,ChocoMilk Deluxe,East,254020
2023-12,Yogurt,East,44817
2023-01,Yogurt,West,12584
2023-05,Cheese,North,23610
2023-05,ChocoMilk Deluxe,North,123750
2023-06,ChocoMilk Deluxe,South,170060
2023-03,ChocoMilk Deluxe,West,202310
2023-05,ChocoMilk Deluxe,East,196220
2023-07,Milk,West,17455
2023-05,Yogurt,North,9310
2023-05,Yogurt,East,15352
2023-05,Cheese,East,15135
2023-10,Cheese,South,30863
2023-10,Milk,West,22502
2023-03,Milk,East,16486
2023-01,ChocoMilk Deluxe,North,277630
2023-05,Yogurt,South,6887
2023-09,Milk,North,21307
2023-01,Milk,South,33289
2023-03,Yogurt,West,28223
2023-04,Cheese,South,24596
2023-01,Cheese,West,7727
2023-01,Milk,West,22320
2023-08,Milk,East,19371
2023-02,Cheese,West,13030
2023-12,Yogurt,South,27676
2023-08,Milk,South,19911
2023-07,Cheese,East,28196
2023-10,Yogurt,South,13326
2023-10,Yogurt,West,9915
2023-02,Milk,South,29914
2023-06,Yogurt,North,24029
2023-06,ChocoMilk Deluxe,North,92360
2023-03,ChocoMilk Deluxe,East,192970
2023-11,Yogurt,West,17693
2023-02,Yogurt,South,16974
2023-12,Milk,East,4162
2023-01,Yogurt,East,19215
2023-06,Yogurt,West,19050
2023-12,Cheese,East,29118
2023-05,Cheese,North,10151
2023-11,Yogurt,East,28110
2023-09,ChocoMilk Deluxe,South,261350
2023-01,Milk,North,9654
2023-07,Milk,North,29400
2023-05,Yogurt,North,8749
2023-05,Milk,South,14312
2023-02,Yogurt,West,24413
2023-11,Milk,East,21424
2023-03,Cheese,East,9462
2023-07,Yogurt,North,21747
2023-06,Milk,North,26287
2023-12,Milk,East,26054
2023-02,Cheese,South,28363
2023-06,Cheese,North,23330
2023-02,Yogurt,North,21981
2023-02,Cheese,South,16904
2023-02,Cheese,West,13645
2023-11,Cheese,North,16063
2023-03,Milk,West,6948
2023-02,Yogurt,South,26840
2023-04,Milk,East,6407
2023-09,ChocoMilk Deluxe,East,283570
2023-06,Cheese,West,18231
2023-01,Cheese,North,29477
2023-08,Yogurt,East,32425
2023-12,ChocoMilk Deluxe,South,63000
